date,mean,mean_se,mean_ci_lower,mean_ci_upper,Sucursal,Cadena,Recurso
2021-11-22,306.7975340516654,158.09110683066862,-3.0553416125192143,616.6504097158501,Norte 286,SA,68524 Alimentos
2021-11-29,298.0255256089479,158.4968363030133,-12.62256520849877,608.6736164263946,Norte 286,SA,68524 Alimentos
2021-12-06,476.15319503576336,158.89794310251304,164.71894933734313,787.5874407341836,Norte 286,SA,68524 Alimentos
2021-12-13,674.8529546900721,159.29786780273747,362.634870982684,987.0710383974603,Norte 286,SA,68524 Alimentos
2021-12-20,190.24720981315636,159.69678320745894,-122.75273372036406,503.2471533466768,Norte 286,SA,68524 Alimentos
2021-12-27,270.5343662661578,160.0947042687723,-43.24548821622676,584.3142207485423,Norte 286,SA,68524 Alimentos
2022-01-03,277.231197433005,160.4916387165771,-37.32663427130029,591.7890291373103,Norte 286,SA,68524 Alimentos
2022-01-10,258.03916417427655,160.88759386829676,-57.29472536689235,573.3730537154454,Norte 286,SA,68524 Alimentos
2022-01-17,303.8270570313193,161.28257693724186,-12.280985099485065,619.9350991621237,Norte 286,SA,68524 Alimentos
2022-01-24,283.1978975394164,161.6765950479667,-33.68240589766526,600.078200976498,Norte 286,SA,68524 Alimentos
2022-01-31,265.3198039407357,162.0696552383914,-52.33088331333471,582.9704911948061,Norte 286,SA,68524 Alimentos
2022-02-07,150.59142642734002,162.4617644612968,-167.82778078163102,469.01063363631107,Norte 286,SA,68524 Alimentos
2022-02-14,208.828710110318,162.85292958576068,-110.35716665461035,528.0145868752463,Norte 286,SA,68524 Alimentos
2022-02-21,241.63250287485772,163.24315739856164,-78.31820634892637,561.5832120986418,Norte 286,SA,68524 Alimentos
2022-02-28,262.1240173702346,163.63245460555314,-58.589700358534856,582.837735099004,Norte 286,SA,68524 Alimentos
2022-03-07,257.41338726077436,164.02082783300796,-64.06152800636613,578.8883025279149,Norte 286,SA,68524 Alimentos
2022-03-14,418.0810661134643,164.4082836289342,95.84675144070707,740.3153807862216,Norte 286,SA,68524 Alimentos
2022-03-21,270.84718156880285,164.79482846436335,-52.14474705980547,593.8391101974112,Norte 286,SA,68524 Alimentos
2022-03-28,421.35213647958847,165.18046873461282,97.6043668103029,745.099906148874,Norte 286,SA,68524 Alimentos
2022-04-04,388.0869921234271,165.5652107605557,63.5851419399545,712.5888423068997,Norte 286,SA,68524 Alimentos
2022-04-11,304.69027203090417,165.94906079060348,-20.563910386926693,629.9444544487351,Norte 286,SA,68524 Alimentos
2022-04-18,271.67330672847976,166.3320250189916,-54.331471784358996,597.6780852413185,Norte 286,SA,68524 Alimentos
2022-04-25,347.80461248437354,166.71410996467586,21.050961238958735,674.5582637297883,Norte 286,SA,68524 Alimentos
2022-05-02,272.54479796289183,167.09533081596055,-54.95603242119671,600.0456283469804,Norte 286,SA,68524 Alimentos
2022-05-09,240.68242162442357,167.47589575299452,-87.56430233003027,568.9291455788774,Norte 286,SA,68524 Alimentos
2022-05-16,167.94308811057653,167.86029141953384,-161.05703750610763,496.9432137272607,Norte 286,SA,68524 Alimentos
